Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
First Morning,87264,87264,300000,15-Jul-05,00-10,PG-13,90,Illuminare,,Drama,,,,,
On the Outs,49772,49772,250000,15-Jul-05,00-10,R,,Fader Films,,Drama,,,,6.5,445
The Island,35818913,163018913,120000000,22-Jul-05,00-10,PG-13,,Dreamworks SKG,Original Screenplay,Action,Science Fiction,Michael Bay,40,6.9,82601
The Bad News Bears,32868349,33500620,35000000,22-Jul-05,00-10,PG-13,,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Richard Linklater,,7.1,7749
Hustle & Flow,22202809,23563727,2800000,22-Jul-05,00-10,R,,Paramount Vantage,Original Screenplay,Drama,Contemporary Fiction,,,7.5,18688
November,191862,191862,250000,22-Jul-05,00-10,R,,Sony Pictures Classics,,Drama,,,,5.5,2189
The Devil's Rejects,17044981,20940428,7000000,22-Jul-05,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Rob Zombie,54,6.9,36082
Stealth,32116746,76416746,138000000,29-Jul-05,00-10,PG-13,,Sony Pictures,Original Screenplay,Action,Science Fiction,Rob Cohen,13,4.8,21664
Sky High,63939454,81627454,60000000,29-Jul-05,00-10,PG,102,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,,73,6.6,20923
Must Love Dogs,43894863,58894863,35000000,29-Jul-05,00-10,PG-13,,Warner Bros.,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,35,5.9,13491
Junebug,2678010,2678010,1000000,3-Aug-05,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,86,7.1,11457
The Dukes of Hazzard,80270227,110570227,53000000,5-Aug-05,00-10,PG-13,105,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13,4.7,27016
Saint Ralph,795126,795126,5200000,5-Aug-05,00-10,PG-13,,Samuel Goldwyn Films,Original Screenplay,Comedy,Historical Fiction,,,7.5,3492
My Date With Drew,181041,181041,1100,5-Aug-05,00-10,PG,,DEJ Productions,Based on Real Life Events,Documentary,Factual,,,6.5,2961
2046,1442338,19202856,12000000,5-Aug-05,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Science Fiction,Wong Kar-wai,,7.5,19431
The Chumscrubber,49526,49526,6800000,5-Aug-05,00-10,R,,Picturehouse,Original Screenplay,Drama,Contemporary Fiction,,34,7,10449
The Great Raid,10166502,10597070,60000000,12-Aug-05,00-10,R,,Miramax,Based on Book/Short Story,Action,Historical Fiction,John Dahl,36,6.8,8894
Deuce Bigalow: European Gigolo,22400154,44400154,22000000,12-Aug-05,00-10,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,10,4.3,18228
Four Brothers,74494381,92494381,30000000,12-Aug-05,00-10,R,109,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,52,6.8,38311
The Skeleton Key,47907715,92907715,40000000,12-Aug-05,00-10,PG-13,,Universal,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38,6.5,29810
Supercross,3102550,3252550,30000000,17-Aug-05,00-10,PG-13,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,6,2.9,2514
Valiant,19478106,61746888,35000000,19-Aug-05,00-10,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,30,5.6,7158
The 40 Year-old Virgin,109449237,177339049,26000000,19-Aug-05,00-10,R,111,Universal,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,,7.5,94557
Red-Eye,57891803,95891803,26000000,19-Aug-05,00-10,PG-13,85,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wes Craven,,6.5,42489
The Brothers Grimm,37899638,105299638,80000000,26-Aug-05,00-10,PG-13,,Miramax/Dimension,Original Screenplay,Adventure,Fantasy,Terry Gilliam,37,5.9,43532
The Cave,15007991,27147991,30000000,26-Aug-05,00-10,PG-13,,Sony/Screen Gems,Original Screenplay,Horror,Science Fiction,,12,4.8,13025
Undiscovered,1069318,1069318,9000000,26-Aug-05,00-10,PG-13,,Lionsgate,Original Screenplay,Romantic Comedy,Contemporary Fiction,,8,3.7,1981
The Constant Gardener,33579798,81079798,25500000,31-Aug-05,00-10,R,,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Fernando Meirelles,83,7.6,50763
The Transporter 2,43095856,85095856,32000000,2-Sep-05,00-10,PG-13,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Louis Leterrier,,6.6,51005
A Sound of Thunder,1900451,6300451,80000000,2-Sep-05,00-10,PG-13,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Peter Hyams,6,4.1,9915
Underclassman,5654777,5654777,25000000,2-Sep-05,00-10,PG-13,,Miramax,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,3.3,3249
The Man,8330720,10393696,20000000,9-Sep-05,00-10,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,11,5.4,9356
An Unfinished Life,8535575,18535575,30000000,9-Sep-05,00-10,PG-13,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Lasse Hallstrom,53,7.1,11770
Side Effects,44701,44701,200000,9-Sep-05,00-10,R,,Sky Island,Original Screenplay,Romantic Comedy,,,11,,
The Exorcism of Emily Rose,75072454,144216468,18000000,9-Sep-05,00-10,PG-13,114,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45,6.8,32425
Lord of War,24149632,62142629,42000000,16-Sep-05,00-10,R,,Lionsgate,Original Screenplay,Action,Contemporary Fiction,Andrew Niccol,61,7.7,80124
The Corpse Bride,53359111,117359111,30000000,16-Sep-05,00-10,PG,77,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Fantasy,Tim Burton,,,
Thumbsucker,1328679,1919197,4000000,16-Sep-05,00-10,R,,Sony Pictures Classics,Based on Book/Short Story,Comedy,Contemporary Fiction,,70,6.7,12109
Proof,7535331,8284331,20000000,16-Sep-05,00-10,PG-13,,Miramax,Based on Play,Drama,Contemporary Fiction,John Madden,64,6.9,18622
Venom,881745,881745,25000000,16-Sep-05,00-10,R,,Miramax/Dimension,Original Screenplay,Horror,Contemporary Fiction,,10,4.6,4220
Just Like Heaven,48318130,100687083,58000000,16-Sep-05,00-10,PG-13,,Dreamworks SKG,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Mark Waters,57,6.8,29457
Cry Wolf,10047674,15585495,1000000,16-Sep-05,00-10,PG-13,,Focus/Rogue Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,24,6.4,372
Chocolate: Deep Dark Secrets,49000,1549000,1000000,16-Sep-05,00-10,Not Rated,,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,527
Roll Bounce,17380866,17500866,10000000,23-Sep-05,00-10,PG-13,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,64,5,3167
A History of Violence,31493782,59993782,32000000,23-Sep-05,00-10,R,,New Line,Based on Comic/Graphic Novel,Drama,Contemporary Fiction,David Cronenberg,87,7.6,79738
Oliver Twist,2070920,26670920,65000000,23-Sep-05,00-10,PG-13,,Sony/TriStar,Based on Book/Short Story,Drama,Historical Fiction,Roman Polanski,59,7,10748
Dear Wendy,23106,446438,8000000,23-Sep-05,00-10,Not Rated,,WellSpring,Original Screenplay,Drama,,Thomas Vinterberg,37,6.6,5574
Dil Jo Bhi Kahey...,129319,129319,1600000,23-Sep-05,00-10,Not Rated,,Eros Entertainment,Original Screenplay,Drama,,,,5,159
Proud,0,0,1000000,23-Sep-05,00-10,PG,,Castle Hill Productions,Based on Real Life Events,Drama,Dramatization,,,5.7,161
Flightplan,89706988,225706988,55000000,23-Sep-05,00-10,PG-13,93,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Robert Schwentke,38,6.2,45305
Forty Shades of Blue,75828,172569,1500000,28-Sep-05,00-10,R,,Vitagraph Films,Original Screenplay,Drama,,,,6,873
Serenity,25514517,38514517,39000000,30-Sep-05,00-10,PG-13,119,Universal,Based on TV,Action,Science Fiction,Joss Whedon,81,8,106648
Into the Blue,18782227,41982227,50000000,30-Sep-05,00-10,PG-13,109,Sony Pictures,Original Screenplay,Adventure,Contemporary Fiction,,21,5.7,22859
Duma,870067,994790,12000000,30-Sep-05,00-10,PG,,Warner Bros.,Based on Book/Short Story,Adventure,,,93,7.2,2966
My Big Fat Independent Movie,4655,4655,3000000,30-Sep-05,00-10,R,,Big Fat Movies,,Comedy,Contemporary Fiction,,23,3.2,1119
Capote,28750530,46309352,7000000,30-Sep-05,00-10,R,,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,Bennett Miller,90,7.6,41472
The Greatest Game Ever Played,15331289,15425073,25000000,30-Sep-05,00-10,PG,,Walt Disney Pictures,Based on Book/Short Story,Drama,Dramatization,Bill Paxton,62,7.3,7876
MirrorMask,864959,864959,4000000,30-Sep-05,00-10,PG,,Samuel Goldwyn Films,Original Screenplay,Drama,Fantasy,,53,7,10398
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,30000000,5-Oct-05,00-10,G,85,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,95,7.9,38158
The Squid and the Whale,7372734,11098131,1500000,5-Oct-05,00-10,R,,IDP/Goldwyn/Roadside,Based on Real Life Events,Drama,Dramatization,Noah Baumbach,93,7.6,23521
Waiting...,16124543,16285543,1125000,7-Oct-05,00-10,R,93,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,30,,
Good Night and Good Luck,31501218,54601218,7000000,7-Oct-05,00-10,PG,,Warner Independent,Based on Real Life Events,Drama,Dramatization,George Clooney,,7.7,42797
2 For the Money,22991379,27848418,20000000,7-Oct-05,00-10,R,123,Universal,Original Screenplay,Drama,Contemporary Fiction,D.J. Caruso,,,
Dungeons & Dragons 2: The Elemental Might,0,909822,15000000,8-Oct-05,00-10,,,Warner Bros.,Based on Game,,Fantasy,,,,
The Dark Hours,423,423,400000,13-Oct-05,00-10,R,,Freestyle Releasing,,Horror,,,,6.3,2804
Domino,10169202,17759202,50000000,14-Oct-05,00-10,R,133,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19,5.9,32560
Elizabethtown,26850426,50719373,54000000,14-Oct-05,00-10,PG-13,133,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28,6.4,31775
Where the Truth Lies,872142,1415656,25000000,14-Oct-05,00-10,Not Rated,,ThinkFilm,Based on Book/Short Story,Drama,,Atom Egoyan,41,6.6,8951
The Fog,29511112,37048526,18000000,14-Oct-05,00-10,PG-13,101,Sony Pictures,Remake,Horror,Contemporary Fiction,Rupert Wainwright,5,3.3,15760
"Kiss Kiss, Bang Bang",4235837,13105837,15000000,21-Oct-05,00-10,R,,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,,83,,
North Country,18324242,23624242,30000000,21-Oct-05,00-10,R,,Warner Bros.,Based on Real Life Events,Drama,Dramatization,,69,7.2,16497
The Work and the Glory: American Zion,2025032,2025032,6500000,21-Oct-05,00-10,PG-13,100,Vineyard Distribution,Based on Book/Short Story,Drama,Historical Fiction,,,5.6,365
The Californians,4134,4134,500000,21-Oct-05,00-10,PG,,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,,,5.1,226
Doom,28212337,54612337,70000000,21-Oct-05,00-10,R,,Universal,Based on Game,Horror,Science Fiction,Andrzej Bartkowiak,19,5.2,39473
The Legend of Zorro,45575336,141475336,80000000,28-Oct-05,00-10,PG,129,Sony Pictures,Remake,Adventure,Historical Fiction,Martin Campbell,26,5.7,21161
The Weather Man,12482775,15466961,20000000,28-Oct-05,00-10,R,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Gore Verbinski,58,6.9,35394
Saw II,87025093,152925093,5000000,28-Oct-05,00-10,R,91,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,36,6.8,76530
Chicken Little,135386665,314432738,60000000,4-Nov-05,00-10,G,80,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36,5.8,17415
Jarhead,62647540,96947540,72000000,4-Nov-05,00-10,R,115,Universal,Based on Book/Short Story,Drama,Dramatization,Sam Mendes,61,7.2,60650
Show Me,0,0,400000,4-Nov-05,00-10,R,,Wolfe Releasing,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.9,288
Get Rich or Die Tryin',30981850,46437122,40000000,9-Nov-05,00-10,R,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Jim Sheridan,16,4,18126
Derailed,36020063,54962616,22000000,11-Nov-05,00-10,R,,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,,20,3.4,3317
Zathura,28045540,58545540,65000000,11-Nov-05,00-10,PG,113,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Jon Favreau,75,,
Pride and Prejudice,38372662,120918508,28000000,11-Nov-05,00-10,PG,,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Joe Wright,85,5.5,1230
Harry Potter and the Goblet of Fire,290013036,896013036,150000000,18-Nov-05,00-10,PG-13,157,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6,111946
Walk the Line,119519402,184319402,29000000,18-Nov-05,00-10,PG-13,80,20th Century Fox,Based on Real Life Events,Drama,Dramatization,James Mangold,82,7.9,85235
"Yours, Mine and Ours",53359917,72359917,45000000,23-Nov-05,00-10,PG,90,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Raja Gosnell,,7.6,259
The Libertine,4835065,9448623,22000000,23-Nov-05,00-10,R,,Weinstein Co.,Based on Play,Drama,Historical Fiction,,,6.4,16266
Rent,29077547,31670620,40000000,23-Nov-05,00-10,PG-13,,Sony Pictures,Based on Musical/Opera,Musical,Historical Fiction,Chris Columbus,47,6.9,22605
Syriana,50824620,95024620,50000000,23-Nov-05,00-10,R,126,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,72,7.1,53265
Aeon Flux,25857987,47953341,55000000,2-Dec-05,00-10,PG-13,88,Paramount Pictures,Based on TV,Action,Science Fiction,,10,8.1,1193
Transamerica,9015303,15151744,1000000,2-Dec-05,00-10,R,,Weinstein Co.,Original Screenplay,Drama,Contemporary Fiction,,76,7.6,19343
The World's Fastest Indian,5128124,16509706,25000000,7-Dec-05,00-10,PG-13,,Magnolia Pictures,Based on Real Life Events,Drama,Dramatization,Roger Donaldson,82,7.9,19687
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,748806957,180000000,9-Dec-05,00-10,PG,140,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,Andrew Adamson,76,,
Mrs. Henderson Presents,11036366,14466366,20000000,9-Dec-05,00-10,R,,Weinstein Co.,Original Screenplay,Comedy,Historical Fiction,Stephen Frears,66,7.1,8831
Brokeback Mountain,83043761,180343761,13900000,9-Dec-05,00-10,R,134,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,87,7.8,115951
Memoirs of a Geisha,57010853,161510853,85000000,9-Dec-05,00-10,PG-13,145,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Rob Marshall,36,7.1,38695
Neal n' Nikki,100358,329621,1300000,9-Dec-05,00-10,Not Rated,,Yash Raj Films,,Drama,,,,3.5,494
King Kong,218080025,550517357,207000000,14-Dec-05,00-10,PG-13,187,Universal,Remake,Adventure,Fantasy,Peter Jackson,83,7.6,132720
Hoodwinked,51386611,110011106,17500000,16-Dec-05,00-10,PG,80,Weinstein Co.,Traditional/Legend/Fairytale,Comedy,Fantasy,,,6.7,20461
The Family Stone,60062868,91762868,18000000,16-Dec-05,00-10,PG-13,103,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,52,6.3,24434
The Producers: The Movie Musical,19398532,32952995,45000000,16-Dec-05,00-10,PG-13,,Universal,Remake,Musical,Historical Fiction,,,,
Fun With Dick And Jane,110550000,202250000,140000000,21-Dec-05,00-10,PG-13,90,Sony Pictures,Remake,Comedy,Contemporary Fiction,Dean Parisot,29,6.3,1788
Cheaper by the Dozen 2,82571173,135015330,60000000,21-Dec-05,00-10,PG,94,20th Century Fox,Remake,Comedy,Contemporary Fiction,Adam Shankman,7,5.2,11858
The White Countess,1669971,2814566,16000000,21-Dec-05,00-10,PG-13,135,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,James Ivory,51,6.5,2855
Munich,47379090,130279090,75000000,23-Dec-05,00-10,R,,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,78,7.8,79529
Cach’_,3647381,17147381,8000000,23-Dec-05,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,5.5,26
The New World,12712093,26184400,30000000,25-Dec-05,00-10,PG-13,,New Line,Original Screenplay,Adventure,Historical Fiction,Terrence Malick,60,6.9,33248
Wolf Creek,16186348,27649774,1100000,25-Dec-05,00-10,R,,Weinstein Co.,Based on Real Life Events,Horror,Dramatization,,,6.3,22594
Match Point,23089926,87989926,15000000,28-Dec-05,00-10,R,,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Woody Allen,77,7.8,65704
The Matador,12578537,17290120,10000000,30-Dec-05,00-10,R,74,Weinstein Co.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,76,6.9,25035
Doogal,7578946,26942802,20000000,1-Jan-06,00-10,G,,Weinstein Co.,Based on TV,Adventure,Kids Fiction,,,2.5,2709
BloodRayne,2405420,2405420,25000000,6-Jan-06,00-10,R,,Romar,Based on Game,Action,Fantasy,Uwe Boll,4,2.7,20137
Fateless,196857,196857,12000000,6-Jan-06,00-10,R,,ThinkFilm,Based on Real Life Events,Drama,,,,6,462
Hostel,47326473,80578934,4800000,6-Jan-06,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,,5.7,64642
Last Holiday,38399961,43343247,45000000,13-Jan-06,00-10,PG-13,,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Wayne Wang,54,6.3,8060
Underworld: Evolution,62318875,111318875,45000000,20-Jan-06,00-10,R,,Sony/Screen Gems,Original Screenplay,Action,Fantasy,Len Wiseman,15,6.6,48551
End of the Spear,11748661,11748661,10000000,20-Jan-06,00-10,PG-13,,M Power Releasing,Original Screenplay,Drama,Historical Fiction,,,6.7,2884
Big Momma's House 2,70165972,137047376,40000000,27-Jan-06,00-10,PG-13,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,6,4,11368
Nanny McPhee,47279279,122540909,25000000,27-Jan-06,00-10,PG,91,Universal,Based on Book/Short Story,Comedy,Fantasy,,73,6.7,13391
Tristram Shandy: A Cock and Bull Story,1253413,3061763,4750000,27-Jan-06,00-10,R,,Picturehouse,Based on Book/Short Story,Comedy,Contemporary Fiction,Michael Winterbottom,,,
Rang De Basanti,2197694,29197694,5300000,27-Jan-06,00-10,Not Rated,,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,,,8.1,12116
Manderlay,74205,543306,14200000,27-Jan-06,00-10,Not Rated,,IFC Films,Original Screenplay,Drama,Historical Fiction,Lars Von Trier,,7.4,8986
Bubble,145382,145382,1600000,27-Jan-06,00-10,R,,Magnolia Pictures,Original Screenplay,Drama,Contemporary Fiction,Steven Soderbergh,,4.6,101
Imagine Me & You,672243,972243,7900000,27-Jan-06,00-10,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6.7,9534
Les Bronz’_s 3: amis pour la vie,0,83833602,42000000,1-Feb-06,00-10,,,,,Comedy,Contemporary Fiction,,,4.4,1254
When a Stranger Calls,47860214,66966987,15000000,3-Feb-06,00-10,PG-13,,Sony/Screen Gems,Remake,Horror,Contemporary Fiction,Simon West,9,4.7,16505
The Pink Panther,82226474,158926474,80000000,10-Feb-06,00-10,PG,,Sony Pictures,,Comedy,Historical Fiction,Shawn Levy,22,5.1,28456
Curious George,58640119,70114174,50000000,10-Feb-06,00-10,G,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,,69,6.7,5393
London,12667,12667,2000000,10-Feb-06,00-10,R,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,,,7.7,181
Final Destination 3,54098051,112798051,25000000,10-Feb-06,00-10,R,,New Line,Original Screenplay,Horror,Fantasy,James Wong,45,5.9,32263
Nochnoy dozor,1502188,33923550,4200000,17-Feb-06,00-10,Not Rated,,Fox Searchlight,Based on Book/Short Story,Action,Fantasy,Timur Bekmambetov,,6.5,25136
Eight Below,81612565,120612565,40000000,17-Feb-06,00-10,PG,,Walt Disney Pictures,Remake,Adventure,Contemporary Fiction,Frank Marshall,71,7.3,17717
Date Movie,48548426,84548426,20000000,17-Feb-06,00-10,PG-13,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,6,2.6,31821
Winter Passing,107492,113783,3500000,17-Feb-06,00-10,R,,Focus Features,Original Screenplay,Drama,Contemporary Fiction,,40,6.4,4360
Running Scared,6855137,8345277,17000000,24-Feb-06,00-10,R,,New Line,Original Screenplay,Action,Contemporary Fiction,,40,7.5,39447
Madea's Family Reunion,63257940,63308879,10000000,24-Feb-06,00-10,PG-13,,Lionsgate,Based on Play,Comedy,Contemporary Fiction,Tyler Perry,26,3.9,5369
Tsotsi,2912606,9879971,3000000,24-Feb-06,00-10,R,,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Gavin Hood,,7.4,13167
16 Blocks,36895141,65595141,45000000,3-Mar-06,00-10,PG-13,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,55,6.7,41207
Ultraviolet,18522064,20722064,30000000,3-Mar-06,00-10,PG-13,,Sony/Screen Gems,Original Screenplay,Action,Science Fiction,,9,4,28547
Aquamarine,18597342,22978953,17000000,3-Mar-06,00-10,PG,,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,,52,4.6,9116
Dave Chappelle's Block Party,11718595,12051924,3000000,3-Mar-06,00-10,R,,Focus Features,Based on Real Life Events,Documentary,Factual,Michel Gondry,,,
Joyeux No’_l,1054361,1054361,22000000,3-Mar-06,00-10,PG-13,,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,,,7.8,9363
The Shaggy Dog,61123569,87123569,60000000,10-Mar-06,00-10,PG,,Walt Disney Pictures,Remake,Comedy,Fantasy,Brian Robbins,27,4.1,6116
The Hills Have Eyes,41778863,69623713,17000000,10-Mar-06,00-10,R,,Fox Searchlight,Remake,Horror,Contemporary Fiction,Alexandre Aja,49,6.5,43747
Failure to Launch,88715192,128402901,50000000,10-Mar-06,00-10,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Tom Dey,25,5.6,20324
V for Vendetta,70511035,132511035,50000000,17-Mar-06,00-10,R,,Warner Bros.,Based on Comic/Graphic Novel,Action,Science Fiction,James McTeigue,73,8.2,224636
Thank You For Smoking,24793509,39232211,7500000,17-Mar-06,00-10,R,,Fox Searchlight,Based on Book/Short Story,Comedy,Contemporary Fiction,Jason Reitman,,7.8,65340
Fetching Cody,0,0,1500000,17-Mar-06,00-10,,,,Original Screenplay,Comedy,Science Fiction,,,6.7,535
Find Me Guilty,1173673,1788077,13000000,17-Mar-06,00-10,R,,Freestyle Releasing,Based on Real Life Events,Drama,Dramatization,Sidney Lumet,60,7.1,12800
Sommersturm,95204,95204,3000000,17-Mar-06,00-10,R,,Regent Releasing,Original Screenplay,Drama,Contemporary Fiction,,,7.6,5251
She's the Man,33889159,56889159,25000000,17-Mar-06,00-10,PG-13,,Paramount Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,Andy Fickman,44,6.4,26513
Larry the Cable Guy: Health Inspector,15680099,15680099,17000000,24-Mar-06,00-10,PG-13,,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,6,2.8,7547
Lonesome Jim,154187,154187,500000,24-Mar-06,00-10,R,91,IFC Films,Original Screenplay,Comedy,Contemporary Fiction,Steve Buscemi,,6.7,4585
Stay Alive,23086480,23187506,20000000,24-Mar-06,00-10,PG-13,91,Walt Disney Pictures,Original Screenplay,Horror,Contemporary Fiction,,9,4.5,13658
Boynton Beach Club,3127472,3127472,2900000,24-Mar-06,00-10,R,104,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,
Inside Man,88634237,184634237,50000000,24-Mar-06,00-10,R,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Spike Lee,86,7.7,86229
Ice Age: The Meltdown,195330621,651899282,75000000,31-Mar-06,00-10,PG,,20th Century Fox,Original Screenplay,Adventure,Fantasy,Carlos Saldanha,,6.9,50981
ATL,21170563,21170563,17000000,31-Mar-06,00-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,63,4.7,5480
Brick,2075743,3918941,450000,31-Mar-06,00-10,R,,Focus/Rogue Pictures,Original Screenplay,Drama,Contemporary Fiction,,,7.5,37204
Slither,7802450,12834936,15250000,31-Mar-06,00-10,R,,Universal,Original Screenplay,Horror,Science Fiction,,85,6.6,26101
Marilyn Hotchkiss' Ballroom Dancing and Charm School,349132,399114,2500000,31-Mar-06,00-10,PG-13,,IDP/Goldwyn/Roadside,Remake,Musical,Contemporary Fiction,,,6.6,1351
Basic Instinct 2,5946136,35417162,70000000,31-Mar-06,00-10,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,7,3.9,16784
Take the Lead,34742066,65742066,30000000,1-Apr-06,00-10,PG-13,,New Line,Based on Real Life Events,Drama,Dramatization,,44,6.5,10015
The Benchwarmers,59843754,64843754,35000000,7-Apr-06,00-10,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,12,5.4,17824
Friends with Money,13368437,15328368,6500000,7-Apr-06,00-10,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,71,6.1,11087
Simon,4055,4055,1300000,7-Apr-06,00-10,,,Strand,Original Screenplay,Comedy,Contemporary Fiction,,,8,4873
Phat Girlz,7061128,7271305,3000000,7-Apr-06,00-10,PG-13,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,,23,2.2,6343
Lucky Number Slevin,22495466,55495466,27000000,7-Apr-06,00-10,R,,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Paul McGuigan,51,7.8,91145
Sisters in Law,33312,33312,300000,12-Apr-06,00-10,Not Rated,,Women Make Movies,Based on Real Life Events,Documentary,Factual,,,6.7,203
The Wild,37384046,99384046,80000000,14-Apr-06,00-10,G,,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,,19,5.4,8498
Scary Movie 4,90710620,178710620,40000000,14-Apr-06,00-10,PG-13,,Weinstein/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5,39542
Hard Candy,1024640,1881243,950000,14-Apr-06,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,,7.2,45791
In Her Line of Fire,884,884,1000000,21-Apr-06,00-10,R,,Regent Releasing,Original Screenplay,Action,Contemporary Fiction,,,3.5,337
American Dreamz,7314027,16510971,17000000,21-Apr-06,00-10,PG-13,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,40,5.7,15097
Silent Hill,46982632,99982632,50000000,21-Apr-06,00-10,R,,Sony Pictures,Based on Game,Horror,Contemporary Fiction,Christophe Gans,29,6.5,65485
